"period","specialty","procedure","provider","zone","facility","year","quarter","consult_median","consult_90th","surgery_median","surgery_90th"
"2024_q4",,"Male Reproductive System Surgery",,"Zone 3","Cape Breton Regional","2024","4","44","327","69","269"
"12month_rolling","General Surgery","Hernia Repair - Laparoscopic Inguinal Femoral","Roach, Eileen",,,,,"122","335","183","452"
"2024_q1",,"Thyroid or Parathyroid Surgery",,"Zone 3","Cape Breton Regional","2024","1","81","135","119","209"
"2024_q1",,"Gallbladder Surgery",,"Total","Provincial","2024","1","37","246","54","181"
"2023_q2",,"Strabismus Surgery  (Adult)",,"Zone 4","QE2","2023","2","334","566","211","421"
"12month_rolling","Otolaryngology (ENT)","Tonsillectomy and/or Adenoidectomy  (Pediatric)","Piccott, Devin",,,,,"105","219","250","381"
"12month_rolling","General Surgery","Hernia Repair  (Adult)","Butler, Clay K",,,,,"208","776","77","863"
"12month_rolling","Obstetrics/Gynaecology","Hysterectomy  (Cancer Not Suspected)","Lee, Winifred W",,,,,"246","336","143","156"
"2023_q4",,"Hip Replacement",,"Zone 2","Aberdeen Hospital","2023","4","166","335","63","312"
"2025_q1",,"Shoulder Arthroscopy",,"Zone 4","Hants Community Hospital","2025","1","77","204","77","306"
