"uid","project_number","civic_address","community","number_of_units","pid","housing_authority","county","municipality","x_coordina","y_coordina","location_1"
"725","1010","38 Shendale Dr","Sydney","1","15142987","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17368055","46.15755609","(46.15755609, -60.17368055)"
"726","1010","39 Shendale Dr","Sydney","1","15143464","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17324634","46.15759393","(46.15759393, -60.17324634)"
"727","1010","40 Shendale Dr","Sydney","1","15142987","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17364982","46.15748827","(46.15748827, -60.17364982)"
"728","1010","41 Shendale Dr","Sydney","1","15143464","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17320838","46.15753668","(46.15753668, -60.17320838)"
"729","1010","12 Caroll Cres","Sydney","1","15142946","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17483838","46.15759653","(46.15759653, -60.17483838)"
"730","1010","13 Caroll Cres","Sydney","1","15142938","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17486908","46.1579343","(46.1579343, -60.17486908)"
"1544","3815","22 Donald Ave","Amherst","1","25017948","Cobequid Housing Authority","Cumberland","Town of Amherst","-64.19616154","45.8323933","(45.8323933, -64.19616154)"
"731","1010","15 Caroll Cres","Sydney","1","15142938","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17475195","46.15795993","(46.15795993, -60.17475195)"
"732","1010","14 Caroll Cres","Sydney","1","15142946","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17472789","46.15761321","(46.15761321, -60.17472789)"
"733","1010","20 Caroll Cres","Sydney","1","15142953","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.1745656","46.15763384","(46.15763384, -60.1745656)"
"734","1010","21 Caroll Cres","Sydney","1","15142920","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17459609","46.1579806","(46.1579806, -60.17459609)"
"735","1010","23 Caroll Cres","Sydney","1","15142920","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17447258","46.15800166","(46.15800166, -60.17447258)"
"736","1010","22 Caroll Cres","Sydney","1","15142953","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17444194","46.15765943","(46.15765943, -60.17444194)"
"737","1010","26 Caroll Cres","Sydney","1","15142961","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17425396","46.1576707","(46.1576707, -60.17425396)"
"738","1010","27 Caroll Cres","Sydney","1","15142912","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17427149","46.15801732","(46.15801732, -60.17427149)"
"739","1010","29 Caroll Cres","Sydney","1","15142912","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17417368","46.15804768","(46.15804768, -60.17417368)"
"740","1010","28 Caroll Cres","Sydney","1","15142961","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17416273","46.15769663","(46.15769663, -60.17416273)"
"741","1010","59 Caroll Cres","Sydney","1","15143043","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17316684","46.15818897","(46.15818897, -60.17316684)"
"742","1010","60 Caroll Cres","Sydney","1","15143019","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17303188","46.15787699","(46.15787699, -60.17303188)"
"743","1010","61 Caroll Cres","Sydney","1","15143043","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17306266","46.15821475","(46.15821475, -60.17306266)"
"744","1010","62 Caroll Cres","Sydney","1","15143019","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17295424","46.15787611","(46.15787611, -60.17295424)"
"745","1010","67 Caroll Cres","Sydney","1","15143035","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17283559","46.15823458","(46.15823458, -60.17283559)"
"746","1010","69 Caroll Cres","Sydney","1","15143035","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17273225","46.15822441","(46.15822441, -60.17273225)"
"747","1010","75 Caroll Cres","Sydney","1","15143027","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17253179","46.15821306","(46.15821306, -60.17253179)"
"748","1010","77 Caroll Cres","Sydney","1","15143027","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17242222","46.15819378","(46.15819378, -60.17242222)"
"749","1011","15 Royal Ave","Sydney","1","15101215","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18211962","46.1305441","(46.1305441, -60.18211962)"
"750","1011","51 Royal Ave","Sydney","1","15101298","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18106162","46.13149465","(46.13149465, -60.18106162)"
"751","1011","7 Elmwood Ave","Sydney","1","15142805","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17475391","46.15706921","(46.15706921, -60.17475391)"
"752","1011","11 Elmwood Ave","Sydney","1","15142797","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.1745723","46.15708506","(46.15708506, -60.1745723)"
"753","1011","67 Trinity Ave","Sydney","1","15106958","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18695569","46.13343401","(46.13343401, -60.18695569)"
"754","1011","170 Rockcliff Cres","Sydney","1","15123755","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.15970835","46.1389572","(46.1389572, -60.15970835)"
"755","1011","174 Rockcliff Cres","Sydney","1","15123755","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.15961758","46.13896511","(46.13896511, -60.15961758)"
"756","1012","56 Hankard St","Sydney","1","15130768","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17922212","46.15322494","(46.15322494, -60.17922212)"
"757","1011","15 Cameron St","Sydney","1","15162308","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18797397","46.15949358","(46.15949358, -60.18797397)"
"758","1012","58 Hankard St","Sydney","1","15130768","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17911158","46.15324621","(46.15324621, -60.17911158)"
"759","1012","64 Hankard St","Sydney","1","15130768","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.1788323","46.15328342","(46.15328342, -60.1788323)"
"760","1012","62 Hankard St","Sydney","1","15130768","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17892941","46.15328454","(46.15328454, -60.17892941)"
"761","1012","68 Hankard St","Sydney","1","15130768","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17863719","46.15332166","(46.15332166, -60.17863719)"
"762","1012","70 Hankard St","Sydney","1","15130768","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17853343","46.15332945","(46.15332945, -60.17853343)"
"763","1012","74 Hankard St","Sydney","1","15130768","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17835764","46.15337241","(46.15337241, -60.17835764)"
"764","1012","76 Hankard St","Sydney","1","15130768","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17824709","46.15339362","(46.15339362, -60.17824709)"
"765","1012","156 Laurier St","Sydney","1","15130693","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17794985","46.15283239","(46.15283239, -60.17794985)"
"766","1012","160 Laurier St","Sydney","1","15130693","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17782005","46.15284435","(46.15284435, -60.17782005)"
"767","1012","164 Laurier St","Sydney","1","15130693","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17757305","46.15288649","(46.15288649, -60.17757305)"
"768","1012","168 Laurier St","Sydney","1","15130693","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17745635","46.15289412","(46.15289412, -60.17745635)"
"769","1029","91 Caroll Cres","Sydney","1","15143514","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17165396","46.15756858","(46.15756858, -60.17165396)"
"770","1029","119 Caroll Cres","Sydney","1","15143399","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17121539","46.15615537","(46.15615537, -60.17121539)"
"771","1029","53 Tillock Dr","Sydney","1","15123466","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.1615434","46.13934308","(46.13934308, -60.1615434)"
"772","1029","44 Macaulays Lane","Sydney","1","15123482","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.16266999","46.13959022","(46.13959022, -60.16266999)"
"773","1029","81 Brookview Dr","Sydney","1","15104136","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17928326","46.12170276","(46.12170276, -60.17928326)"
"774","1031","189 Rotary Dr","Sydney","1","15104482","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18597693","46.12424973","(46.12424973, -60.18597693)"
"775","1031","16 Brookview Dr","Sydney","1","15103906","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18064447","46.123491","(46.123491, -60.18064447)"
"776","1031","53 Brookview Dr","Sydney","1","15104201","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17849681","46.1226654","(46.1226654, -60.17849681)"
"777","1031","57 Brookview Dr","Sydney","1","15104193","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17845538","46.12250294","(46.12250294, -60.17845538)"
"778","1031","81 Caroll Cres","Sydney","1","15143480","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17221149","46.15807443","(46.15807443, -60.17221149)"
"779","1031","83 Caroll Cres","Sydney","1","15143498","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17198214","46.15791876","(46.15791876, -60.17198214)"
"780","1031","112 Caroll Cres","Sydney","1","15143225","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17171268","46.15620162","(46.15620162, -60.17171268)"
"781","1031","199 Maloney St","Sydney","1","15143423","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17105198","46.15568107","(46.15568107, -60.17105198)"
"782","1031","91 Tillock Dr","Sydney","1","15123391","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.1601477","46.1387194","(46.1387194, -60.1601477)"
"783","1033","56 Bristol Dr","Sydney","1","15115496","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.16594168","46.13140467","(46.13140467, -60.16594168)"
"784","1011","860 George St","Sydney","1","15084718","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18668818","46.12958834","(46.12958834, -60.18668818)"
"785","1033","104 Bison Dr","Sydney","1","15152218","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.1843161","46.16818806","(46.16818806, -60.1843161)"
"786","1033","152 Bison Dr","Sydney","1","15152341","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18469479","46.1694161","(46.1694161, -60.18469479)"
"787","1031","80 Brookview Dr","Sydney","1","15104128","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17975751","46.12188817","(46.12188817, -60.17975751)"
"788","1033","13 Austin Pl","Sydney","1","15143316","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17114111","46.15709021","(46.15709021, -60.17114111)"
"789","1033","219 Rotary Dr","Sydney","1","15104433","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18522918","46.1235888","(46.1235888, -60.18522918)"
"790","1035","11 Brookview Dr","Sydney","2","15104318","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18076413","46.12389727","(46.12389727, -60.18076413)"
"791","1035","13 Brookview Dr","Sydney","2","15039597","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18066695","46.12390516","(46.12390516, -60.18066695)"
"792","1033","195 Rotary Dr","Sydney","1","15104474","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.1858509","46.12410878","(46.12410878, -60.1858509)"
"793","1038","113 Tupper St","Sydney","1","15130743","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17810639","46.15251024","(46.15251024, -60.17810639)"
"794","1038","45 MacDonald Cres","Sydney","1","15143852","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17502238","46.16099069","(46.16099069, -60.17502238)"
